field,question,model_answer,keywords,difficulty,student_answer,score,label
DBMS,What is a view in SQL?,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Hard,"as far as I know, view is a virtual on result of a that not store physically itself.",66.0,Good
OOP,Give a short note on: what is a constructor,A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Hard,This is related to computers and programming somehow.,21.0,Poor
Data Structures,Explain: What is dynamic programming?,Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Medium,an technique that solves complex problems by them and to avoid recomputation. dynamic,67.0,Good
Computer Networks,"in your own words, what is an ip address?",An IP address is a unique numerical identifier assigned to every device connected to a network that uses the Internet Protocol for communication.,"ip, address, unique, network",Hard,I don't remember this concept clearly.,20.0,Poor
Computer Networks,What is HTTP?,"HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Medium,"basically speaking, HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.",90.0,Excellent
OOP,BRIEFLY EXPLAIN WHAT IS METHOD OVERRIDING?,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Easy,"honestly, I don't remember this concept clearly. It might relate to implementation.",26.0,Poor
Data Structures,Briefly explain what is dynamic programming?,Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Easy,programming technique that problems by into subproblems storing to avoid dynamic,63.0,Average
Computer Networks,GIVE A SHORT NOTE ON: WHAT IS HTTP,"HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Hard,"if I remember correctly, HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.",90.0,Excellent
Data Structures,"In your own words, what is a hash table?","A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Medium,a hash is maps to hash function for insertion deletion.,68.0,Good
Python,explain: what is a lambda function?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Medium,A lambda function a small anonymous function defined using the lambda keyword which can take any number of arguments has only expression.,84.0,Good
OOP,Briefly explain what is encapsulation?,Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Hard,Encapsulation refers to the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,98.0,Excellent
Data Structures,What is the time complexity of binary search?,Binary search has a time complexity of O(log n) because it repeatedly divides the search interval in half.,"binary, search, logn, complexity",Easy,"if I remember correctly, search a complexity it repeatedly search interval in half. binary",47.0,Average
DBMS,Briefly explain what is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Easy,A join is used to combine rows two or more tables based a related column between,83.0,Good
Operating Systems,EXPLAIN: WHAT IS CONTEXT SWITCHING?,Context switching is the process of storing the state of a running process and loading the state of another so the CPU can switch between processes.,"context, switching, state, cpu",Medium,"SO LIKE, CONTEXT SWITCHING REFERS TO THE PROCESS OF STORING THE STATE OF A RUNNING PROCESS AND LOADING THE STATE OF ANOTHER SO THE CPU CAN SWITCH BETWEEN PROCESSES.",98.0,Excellent
Operating Systems,WHAT IS THRASHING?,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Medium,occurs when a spends of its pages out of instead of thrashing,51.0,Average
Python,What is the difference between a list and a tuple?,A list is mutable and defined with square brackets while a tuple is immutable and defined with parentheses.,"mutable, immutable, tuple, list",Medium,IS AND DEFINED WITH SQUARE WHILE A TUPLE IS AND DEFINED WITH PARENTHESES. MUTABLE,54.0,Average
OOP,What is method overloading?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Hard,Method in the same class to have the same name but different parameters.,82.0,Good
Computer Networks,Briefly explain what is a MAC address?,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Easy,A MAC refers to a unique identifier assigned to a network for use at the data link,76.0,Good
DBMS,Explain: What is ACID property in DBMS?,"ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Hard,asdkj random text here nothing useful,4.0,Poor
DBMS,"In your own words, what is a join in SQL?",A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Hard,IS USED COMBINE FROM OR RELATED COLUMN THEM. JOIN,55.0,Average
DBMS,Briefly explain what is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Easy,A join to combine rows more on related between,45.0,Average
OOP,What is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Medium,objects of classes to treated as objects of a common the same method polymorphism,69.0,Good
Data Structures,EXPLAIN: WHAT IS THE DIFFERENCE BETWEEN BFS AND DFS?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Easy,I LIKE PIZZA AND FOOTBALL ON WEEKENDS.,0.0,Poor
Operating Systems,"In your own words, what is a system call?",A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Hard,system is the used a program to a the,67.0,Good
Data Structures,Explain: What is recursion?,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Hard,"um basically, Recursion refers to a where a function calls itself to solve smaller instances of the same until a case is reached.",76.0,Good
Computer Networks,Explain: What is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Easy,"well, It has something to do with data I think. It might relate to rate.",28.0,Poor
Python,Explain: What is the difference between a list and a tuple?,A list is mutable and defined with square brackets while a tuple is immutable and defined with parentheses.,"mutable, immutable, tuple, list",Hard,"Not very sure, but it sounds like a technical term. It might relate to list.",41.0,Average
OOP,BRIEFLY EXPLAIN WHAT IS OBJECT COMPOSITION?,Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Easy,This is related to computers and programming somehow. It might relate to design.,31.0,Poor
Python,Explain: What is a dictionary in Python?,A dictionary is an unordered collection of key-value pairs where each key is unique.,"dictionary, key, value, pairs",Easy,"um basically, is an unordered of key-value each key is unique. dictionary",69.0,Good
Operating Systems,What is context switching?,Context switching is the process of storing the state of a running process and loading the state of another so the CPU can switch between processes.,"context, switching, state, cpu",Easy,"basically speaking, switching refers to the process of storing the state of a process and loading the state of another so the CPU can between processes.",70.0,Good
Data Structures,Explain: What is the time complexity of binary search?,Binary search has a time complexity of O(log n) because it repeatedly divides the search interval in half.,"binary, search, logn, complexity",Medium,binary search has complexity o(log n) because it divides the search interval in,74.0,Good
OOP,Explain: What is object composition?,Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Medium,Object is a principle where a is of one objects of functionality. composition,58.0,Average
DBMS,give a short note on: what is a primary key,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Hard,"in simple words, i don't remember this concept clearly.",28.0,Poor
DBMS,Give a short note on: what is a transaction in DBMS,A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Medium,A transaction is a sequence or more operations executed a single logical unit work that either fully or fully fails.,77.0,Good
Operating Systems,briefly explain what is paging?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Medium,Paging is a memory management scheme that need contiguous allocation of physical memory by dividing memory fixed-size pages.,73.0,Good
Operating Systems,Briefly explain what is context switching?,Context switching is the process of storing the state of a running process and loading the state of another so the CPU can switch between processes.,"context, switching, state, cpu",Easy,THIS IS RELATED TO COMPUTERS AND PROGRAMMING SOMEHOW.,23.0,Poor
Data Structures,Explain: What is a linked list?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Hard,A list is a structure where element element using pointers instead of memory. linked,55.0,Average
Computer Networks,give a short note on: what is dns,"DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Easy,"DNS, NAME SYSTEM, TRANSLATES DOMAIN INTO IP THAT IDENTIFY OTHER. DNS",56.0,Average
Operating Systems,Explain: What is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Easy,Deadlock is a situation where two or more processes are unable to proceed since each is waiting for a resource held by another.,96.0,Excellent
Python,What is list comprehension?,List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Medium,List comprehension refers to a concise to create lists using a single of code with a for and optional condition.,86.0,Excellent
Operating Systems,"in your own words, what is paging?",Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Easy,"Not very sure, but it sounds like a technical term.",37.0,Poor
DBMS,GIVE A SHORT NOTE ON: WHAT IS NORMALIZATION,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Medium,refers to the process of organizing data in a database to reduce and improve data integrity by dividing tables and defining relationships.,83.0,Good
Data Structures,What is dynamic programming?,Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Easy,programming is optimization technique which problems by breaking them into overlapping subproblems and results to avoid recomputation.,80.0,Good
Operating Systems,What is the difference between a process and a thread?,A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Medium,"to put it simply, process is independent program its memory while a thread is a a process that memory threads.",50.0,Average
Operating Systems,What is the difference between a process and a thread?,A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Medium,"if I remember correctly, Not very sure, but it sounds like a technical term.",24.0,Poor
OOP,Briefly explain what is method overriding?,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Easy,overriding when a subclass provides a a method parent,52.0,Average
OOP,What is an interface in OOP?,An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Medium,"um basically, An interface refers to a contract that defines a set of methods a class must implement without providing the implementation itself.",97.0,Excellent
Data Structures,Briefly explain what is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Medium,asdkj random text here nothing useful,17.0,Poor
OOP,what is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Medium,"lets objects of to be treated as objects of common superclass, letting the same method behave differently.",75.0,Good
OOP,Briefly explain what is method overriding?,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Easy,method overriding occurs subclass specific of defined its parent class.,66.0,Good
Python,What is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Easy,"BASICALLY SPEAKING, REFERS TO A FUNCTION THAT RETURNS AN USING THE YIELD KEYWORD, PRODUCING VALUES LAZILY ONE AT A TIME.",89.0,Excellent
OOP,What is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Medium,THIS IS RELATED TO COMPUTERS AND PROGRAMMING SOMEHOW. IT MIGHT RELATE TO CLASS.,40.0,Average
Data Structures,Explain: What is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Hard,A queue a data structure that follows the principle where at the deletion at the front.,61.0,Average
Python,Give a short note on: what is a list in Python,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,"um basically, A list is a mutable, ordered collection of items that can hold elements of different data types.",99.0,Excellent
Data Structures,Briefly explain what is the time complexity of binary search?,Binary search has a time complexity of O(log n) because it repeatedly divides the search interval in half.,"binary, search, logn, complexity",Easy,"AS FAR AS I KNOW, BINARY SEARCH HAS A TIME COMPLEXITY OF O(LOG IT REPEATEDLY DIVIDES THE SEARCH IN HALF.",80.0,Good
DBMS,Explain: What is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Medium,of data in database redundancy and data by and defining relationships. normalization,53.0,Average
Data Structures,Give a short note on: what is a linked list,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Hard,A linked list refers to a linear data structure each element points the next element using pointers instead contiguous memory.,70.0,Good
DBMS,Briefly explain what is indexing in a database?,Indexing is a data structure technique used to quickly locate and access data in a database without scanning every row.,"index, quickly, locate, data",Hard,Indexing a data structure technique used to quickly and access data a database scanning every row.,89.0,Excellent
DBMS,What is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Easy,"i don't know, skip this question.",14.0,Poor
Computer Networks,WHAT IS A FIREWALL?,A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on defined rules.,"firewall, security, filter, traffic",Hard,A firewall a network security monitors and filters incoming and outgoing network traffic based defined,79.0,Good
Python,Explain: What is the difference between deep copy and shallow copy?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Easy,"shallow copy creates a new object but inserts references to the nested objects, while a deep copy creates a new object and recursively copies all nested objects.",87.0,Excellent
Python,briefly explain what are decorators in python?,"A decorator is a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.","decorator, function, wraps, modify",Easy,"um basically, A decorator refers to a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.",100.0,Excellent
Python,What is list comprehension?,List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Medium,"basically speaking, comprehension a way lists a single of code a for and optional condition.",57.0,Average
Operating Systems,What is context switching?,Context switching is the process of storing the state of a running process and loading the state of another so the CPU can switch between processes.,"context, switching, state, cpu",Easy,"so like, It has something to do with data I think.",27.0,Poor
OOP,Explain: What is a class in OOP?,A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Easy,A class refers to a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,95.0,Excellent
OOP,"In your own words, what is an interface in OOP?",An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Easy,"as far as I know, An interface refers to a contract defines a set of methods a class must without implementation itself.",89.0,Excellent
Python,"In your own words, what is exception handling in Python?","Exception handling is done using try, except, else and finally blocks to catch and handle runtime errors gracefully.","exception, try, except, finally",Medium,"to put it simply, I don't remember this concept clearly.",30.0,Poor
Python,briefly explain what is list comprehension?,List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Medium,List comprehension refers to a concise way to create lists using a single line of code with a for loop and optional condition.,90.0,Excellent
DBMS,Give a short note on: what is a foreign key,A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Easy,A key is a column that creates a between two primary key another table. foreign,53.0,Average
Python,What is a dictionary in Python?,A dictionary is an unordered collection of key-value pairs where each key is unique.,"dictionary, key, value, pairs",Hard,"I DON'T KNOW, SKIP THIS QUESTION.",11.0,Poor
Operating Systems,Explain: What is context switching?,Context switching is the process of storing the state of a running process and loading the state of another so the CPU can switch between processes.,"context, switching, state, cpu",Medium,"basically speaking, Context switching is the process of storing the of a running process and loading the of another so the switch between processes.",87.0,Excellent
DBMS,what is a transaction in dbms?,A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Easy,"if I remember correctly, transaction is a sequence of one or operations a logical of work that fully completes or fully",56.0,Average
DBMS,Briefly explain what is ACID property in DBMS?,"ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Medium,"Atomicity, Isolation and Durability that processing database acid",60.0,Average
Python,Briefly explain what is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Easy,"A function that returns an iterator using yield keyword, lazily time. generator",68.0,Good
Computer Networks,WHAT IS A ROUTER?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Easy,"I think, A router a networking device data packets between different networks based on their destination address.",85.0,Excellent
OOP,what is a class in oop?,A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Hard,"as far as I know, class is a blueprint for objects that a of to objects of that type.",50.0,Average
Operating Systems,Briefly explain what is paging?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Medium,I like pizza and football on weekends.,5.0,Poor
OOP,"In your own words, what is method overriding?",Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Hard,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,99.0,Excellent
OOP,explain: what is abstraction in oop?,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Medium,means hiding implementation and showing only the an the abstraction,55.0,Average
Computer Networks,Briefly explain what is a MAC address?,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Easy,"in simple words, A MAC address refers to a unique hardware identifier assigned to a network interface controller for use at the data link layer.",98.0,Excellent
Operating Systems,"IN YOUR OWN WORDS, WHAT IS THE DIFFERENCE BETWEEN A PROCESS AND A THREAD?",A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Easy,"honestly, a process refers to an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.",93.0,Excellent
Operating Systems,Explain: What is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Easy,"as far as I know, refers to a situation where two or processes are unable to proceed because is waiting a resource held by",82.0,Good
Data Structures,Explain: What is a linked list?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Hard,"honestly, A linked list a data structure where each element points to the next element using pointers contiguous memory.",73.0,Good
Operating Systems,Give a short note on: what is a semaphore,A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Easy,semaphore is a synchronization tool used to control access to a shared resource by multiple processes using,77.0,Good
Data Structures,What is the difference between BFS and DFS?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Hard,"I THINK, BFS EXPLORES A GRAPH LEVEL BY LEVEL USING A QUEUE WHILE DFS EXPLORES AS DEEP AS POSSIBLE ALONG A USING A OR RECURSION.",79.0,Good
Operating Systems,Briefly explain what is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Easy,"basically speaking, It has something to do with data I think.",30.0,Poor
Python,Explain: What is a dictionary in Python?,A dictionary is an unordered collection of key-value pairs where each key is unique.,"dictionary, key, value, pairs",Easy,"honestly, A dictionary is an unordered collection of key-value pairs where each key is unique.",96.0,Excellent
Operating Systems,give a short note on: what is a semaphore,A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Easy,"in simple words, is a synchronization tool utilized to control access to a shared resource by multiple processes using counters.",80.0,Good
DBMS,Explain: What is a primary key?,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Hard,a primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,90.0,Excellent
Python,Give a short note on: what is exception handling in Python,"Exception handling is done using try, except, else and finally blocks to catch and handle runtime errors gracefully.","exception, try, except, finally",Easy,"Exception handling done using try, else and blocks to catch and handle errors gracefully.",89.0,Excellent
Data Structures,"IN YOUR OWN WORDS, WHAT IS A GRAPH IN DATA STRUCTURES?",A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Hard,A graph refers to a non-linear data structure consisting of nodes called vertices connected by edges.,92.0,Excellent
Data Structures,Explain: What is the time complexity of binary search?,Binary search has a time complexity of O(log n) because it repeatedly divides the search interval in half.,"binary, search, logn, complexity",Medium,"um basically, This is used in software development in general.",37.0,Poor
OOP,Briefly explain what is object composition?,Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Easy,composition is a design where a class is composed of one more objects of classes to achieve complex functionality.,87.0,Excellent
DBMS,Explain: What is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,"IF I REMEMBER CORRECTLY, TO COMBINE ROWS TWO TABLES BASED A BETWEEN THEM. JOIN",55.0,Average
Data Structures,explain: what is the difference between bfs and dfs?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Easy,BFS explores a graph level level using a queue while DFS explores as deep as possible along a branch using a recursion.,80.0,Good
Data Structures,briefly explain what is recursion?,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Medium,"as far as I know, is a technique where a itself solve smaller instances problem until a is reached. recursion",62.0,Average
Computer Networks,Explain: What is a subnet mask?,A subnet mask is used to divide an IP address into network and host portions to determine which part identifies the network.,"subnet, mask, network, host",Medium,I don't remember this concept clearly. It might relate to host.,40.0,Average
Python,what is a lambda function?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Easy,"I don't know, skip this question.",1.0,Poor
Python,"In your own words, what is a list in Python?","A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Hard,"A list is a mutable, ordered collection of items that can hold elements of different data types.",96.0,Excellent
DBMS,"In your own words, what is denormalization?",Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Hard,"to put it simply, Denormalization is the process of adding redundant data to a normalized database to improve read performance.",96.0,Excellent
Python,"In your own words, what is a list in Python?","A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Hard,"I think, list refers to a mutable, ordered collection of that can hold elements of data types.",76.0,Good
Data Structures,"in your own words, what is the difference between bfs and dfs?",BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Medium,The weather has been nice lately.,12.0,Poor
Python,Explain: What is a lambda function?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Medium,"SO LIKE, LAMBDA FUNCTION IS A SMALL ANONYMOUS FUNCTION DEFINED THE LAMBDA KEYWORD WHICH CAN TAKE ANY NUMBER ARGUMENTS BUT HAS ONLY ONE EXPRESSION.",84.0,Good
OOP,What is a constructor?,A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Medium,"well, a constructor refers to a special method automatically called when an object is created that initializes the object's attributes.",92.0,Excellent
Computer Networks,briefly explain what is dns?,"DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Hard,"I don't know, skip this question.",2.0,Poor
DBMS,What is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Easy,"as far as I know, Normalization refers to the process of organizing data in a database to reduce and improve data integrity by dividing and defining",78.0,Good
Operating Systems,Explain: What is the difference between a process and a thread?,A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Hard,A process is independent program with its own memory while a is a lightweight unit of execution within a process that shares memory with other,78.0,Good
Computer Networks,What is an IP address?,An IP address is a unique numerical identifier assigned to every device connected to a network that uses the Internet Protocol for communication.,"ip, address, unique, network",Easy,"IF I REMEMBER CORRECTLY, AN IS A NUMERICAL ASSIGNED TO EVERY TO A NETWORK USES INTERNET PROTOCOL FOR COMMUNICATION. IP",51.0,Average
Computer Networks,What is the OSI model?,The OSI model is a conceptual framework with seven layers that standardizes the functions of a communication system.,"osi, layers, seven, communication",Medium,"as far as I know, The OSI model refers to a conceptual framework with seven layers that standardizes the functions of a communication system.",97.0,Excellent
OOP,WHAT IS AN INTERFACE IN OOP?,An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Medium,An is a a of a class must implement without providing itself. interface,66.0,Good
Data Structures,WHAT IS A LINKED LIST?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Medium,"honestly, a linked list is a linear data each element points to the next element pointers instead of contiguous memory.",81.0,Good
Python,Explain: What is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Medium,"A refers to a function that returns iterator using the yield keyword, values lazily at a time.",84.0,Good
OOP,explain: what is a class in oop?,A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Easy,"well, A class is a blueprint for creating objects which defines a set of attributes and methods common to all objects of that type.",93.0,Excellent
Operating Systems,Briefly explain what is a semaphore?,A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Hard,"so like, a a tool used control access a shared resource by processes semaphore",67.0,Good
Data Structures,Give a short note on: what is a hash table,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Easy,"A hash table is a data structure which maps keys to values using a hash for fast lookup, deletion.",74.0,Good
OOP,Briefly explain what is a class in OOP?,A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Hard,"IN SIMPLE WORDS, A IS A FOR OBJECTS WHICH DEFINES A SET OF ATTRIBUTES AND COMMON TO OBJECTS OF THAT TYPE.",88.0,Excellent
DBMS,EXPLAIN: WHAT IS A JOIN IN SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,A used to combine rows from two more tables based on a related column between,83.0,Good
DBMS,What is a foreign key?,A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Hard,"well, key a column creates a between two by key another foreign",69.0,Good
Python,Give a short note on: what is the Global Interpreter Lock (GIL),"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.","gil, mutex, thread, bytecode",Hard,"in simple words, GIL is only one to execute Python at limiting true parallelism programs. gil",62.0,Average
OOP,Explain: What is inheritance in OOP?,"Inheritance is a mechanism where a new class acquires the properties and behavior of an existing class, promoting code reuse.","inheritance, class, reuse, properties",Medium,This is used in software development in general.,28.0,Poor
DBMS,"In your own words, what is normalization?",Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Hard,"if I remember correctly, Normalization refers to the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.",90.0,Excellent
DBMS,Briefly explain what is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Easy,MY FAVORITE COLOR IS BLUE.,2.0,Poor
